,yesterdays_candle,todays_candle,condition,candle_type,script
457,pdh-tc,pdh-tc,sell,bullish,nifty
458,tc-pp,pdh-tc,sell,bullish,nifty
459,pp-bc,pdh-tc,buy,bullish,nifty
460,bc-pdl,pdh-tc,sell,bullish,nifty
461,bc-s1,pdh-tc,sell,bullish,nifty
462,pdl-s1,pdh-tc,sell,bullish,nifty
463,s1-pdl,pdh-tc,sell,bullish,nifty
464,pdl-s2,pdh-tc,sell,bullish,nifty
465,s1-s2,pdh-tc,sell,bullish,nifty
466,s2-s3,pdh-tc,sell,bullish,nifty
467,< s3,pdh-tc,sell,bullish,nifty
468,> r3,tc-pp,buy,bullish,nifty
469,r3-r2,tc-pp,sell,bullish,nifty
470,r2-pdh,tc-pp,sell,bullish,nifty
471,r2-r1,tc-pp,sell,bullish,nifty
472,pdh-r1,tc-pp,sell,bullish,nifty
473,r1-pdh,tc-pp,sell,bullish,nifty
474,r1-tc,tc-pp,buy,bullish,nifty
475,pdh-tc,tc-pp,buy,bullish,nifty
476,tc-pp,tc-pp,sell,bullish,nifty
477,pp-bc,tc-pp,buy,bullish,nifty
478,bc-pdl,tc-pp,sell,bullish,nifty
479,bc-s1,tc-pp,sell,bullish,nifty
480,pdl-s1,tc-pp,sell,bullish,nifty
481,s1-pdl,tc-pp,sell,bullish,nifty
482,pdl-s2,tc-pp,sell,bullish,nifty
483,s1-s2,tc-pp,buy,bullish,nifty
484,s2-s3,tc-pp,sell,bullish,nifty
485,< s3,tc-pp,sell,bullish,nifty
486,> r3,pp-bc,buy,bullish,nifty
487,r3-r2,pp-bc,buy,bullish,nifty
488,r2-pdh,pp-bc,buy,bullish,nifty
489,r2-r1,pp-bc,buy,bullish,nifty
490,pdh-r1,pp-bc,buy,bullish,nifty
491,r1-pdh,pp-bc,buy,bullish,nifty
492,r1-tc,pp-bc,buy,bullish,nifty
493,pdh-tc,pp-bc,sell,bullish,nifty
494,tc-pp,pp-bc,buy,bullish,nifty
495,pp-bc,pp-bc,buy,bullish,nifty
496,bc-pdl,pp-bc,buy,bullish,nifty
497,bc-s1,pp-bc,buy,bullish,nifty
498,pdl-s1,pp-bc,buy,bullish,nifty
499,s1-pdl,pp-bc,buy,bullish,nifty
500,pdl-s2,pp-bc,buy,bullish,nifty
501,s1-s2,pp-bc,sell,bullish,nifty
502,s2-s3,pp-bc,buy,bullish,nifty
503,< s3,pp-bc,buy,bullish,nifty
504,> r3,bc-pdl,buy,bullish,nifty
505,r3-r2,bc-pdl,buy,bullish,nifty
506,r2-pdh,bc-pdl,buy,bullish,nifty
507,r2-r1,bc-pdl,buy,bullish,nifty
508,pdh-r1,bc-pdl,buy,bullish,nifty
509,r1-pdh,bc-pdl,buy,bullish,nifty
510,r1-tc,bc-pdl,buy,bullish,nifty
511,pdh-tc,bc-pdl,buy,bullish,nifty
512,tc-pp,bc-pdl,buy,bullish,nifty
513,pp-bc,bc-pdl,buy,bullish,nifty
514,bc-pdl,bc-pdl,buy,bullish,nifty
515,bc-s1,bc-pdl,buy,bullish,nifty
516,pdl-s1,bc-pdl,sell,bullish,nifty
517,s1-pdl,bc-pdl,buy,bullish,nifty
518,pdl-s2,bc-pdl,buy,bullish,nifty
519,s1-s2,bc-pdl,buy,bullish,nifty
520,s2-s3,bc-pdl,buy,bullish,nifty
521,< s3,bc-pdl,sell,bullish,nifty
522,> r3,bc-s1,sell,bullish,nifty
523,r3-r2,bc-s1,buy,bullish,nifty
524,r2-pdh,bc-s1,buy,bullish,nifty
525,r2-r1,bc-s1,buy,bullish,nifty
526,pdh-r1,bc-s1,buy,bullish,nifty
527,r1-pdh,bc-s1,buy,bullish,nifty
528,r1-tc,bc-s1,buy,bullish,nifty
529,pdh-tc,bc-s1,buy,bullish,nifty
530,tc-pp,bc-s1,buy,bullish,nifty
531,pp-bc,bc-s1,buy,bullish,nifty
532,bc-pdl,bc-s1,buy,bullish,nifty
533,bc-s1,bc-s1,buy,bullish,nifty
534,pdl-s1,bc-s1,buy,bullish,nifty
535,s1-pdl,bc-s1,buy,bullish,nifty
536,pdl-s2,bc-s1,buy,bullish,nifty
537,s1-s2,bc-s1,buy,bullish,nifty
538,s2-s3,bc-s1,buy,bullish,nifty
539,< s3,bc-s1,buy,bullish,nifty
540,> r3,pdl-s1,buy,bullish,nifty
541,r3-r2,pdl-s1,buy,bullish,nifty
542,r2-pdh,pdl-s1,buy,bullish,nifty
543,r2-r1,pdl-s1,buy,bullish,nifty
544,pdh-r1,pdl-s1,buy,bullish,nifty
545,r1-pdh,pdl-s1,buy,bullish,nifty
546,r1-tc,pdl-s1,buy,bullish,nifty
547,pdh-tc,pdl-s1,buy,bullish,nifty
548,tc-pp,pdl-s1,buy,bullish,nifty
549,pp-bc,pdl-s1,buy,bullish,nifty
550,bc-pdl,pdl-s1,buy,bullish,nifty
551,bc-s1,pdl-s1,buy,bullish,nifty
552,pdl-s1,pdl-s1,buy,bullish,nifty
553,s1-pdl,pdl-s1,buy,bullish,nifty
554,pdl-s2,pdl-s1,sell,bullish,nifty
555,s1-s2,pdl-s1,buy,bullish,nifty
556,s2-s3,pdl-s1,buy,bullish,nifty
557,< s3,pdl-s1,buy,bullish,nifty
558,> r3,s1-pdl,buy,bullish,nifty
559,r3-r2,s1-pdl,buy,bullish,nifty
560,r2-pdh,s1-pdl,buy,bullish,nifty
561,r2-r1,s1-pdl,buy,bullish,nifty
562,pdh-r1,s1-pdl,buy,bullish,nifty
563,r1-pdh,s1-pdl,buy,bullish,nifty
564,r1-tc,s1-pdl,buy,bullish,nifty
565,pdh-tc,s1-pdl,buy,bullish,nifty
566,tc-pp,s1-pdl,buy,bullish,nifty
567,pp-bc,s1-pdl,buy,bullish,nifty
568,bc-pdl,s1-pdl,buy,bullish,nifty
569,bc-s1,s1-pdl,buy,bullish,nifty
570,pdl-s1,s1-pdl,buy,bullish,nifty
571,s1-pdl,s1-pdl,buy,bullish,nifty
572,pdl-s2,s1-pdl,buy,bullish,nifty
573,s1-s2,s1-pdl,buy,bullish,nifty
574,s2-s3,s1-pdl,buy,bullish,nifty
575,< s3,s1-pdl,buy,bullish,nifty
576,> r3,pdl-s2,buy,bullish,nifty
577,r3-r2,pdl-s2,buy,bullish,nifty
578,r2-pdh,pdl-s2,buy,bullish,nifty
579,r2-r1,pdl-s2,buy,bullish,nifty
580,pdh-r1,pdl-s2,buy,bullish,nifty
581,r1-pdh,pdl-s2,buy,bullish,nifty
582,r1-tc,pdl-s2,buy,bullish,nifty
583,pdh-tc,pdl-s2,buy,bullish,nifty
584,tc-pp,pdl-s2,buy,bullish,nifty
585,pp-bc,pdl-s2,buy,bullish,nifty
586,bc-pdl,pdl-s2,buy,bullish,nifty
587,bc-s1,pdl-s2,buy,bullish,nifty
588,pdl-s1,pdl-s2,buy,bullish,nifty
589,s1-pdl,pdl-s2,buy,bullish,nifty
590,pdl-s2,pdl-s2,buy,bullish,nifty
591,s1-s2,pdl-s2,buy,bullish,nifty
592,s2-s3,pdl-s2,buy,bullish,nifty
593,< s3,pdl-s2,buy,bullish,nifty
594,> r3,s1-s2,buy,bullish,nifty
595,r3-r2,s1-s2,buy,bullish,nifty
596,r2-pdh,s1-s2,buy,bullish,nifty
597,r2-r1,s1-s2,buy,bullish,nifty
598,pdh-r1,s1-s2,buy,bullish,nifty
599,r1-pdh,s1-s2,buy,bullish,nifty
600,r1-tc,s1-s2,buy,bullish,nifty
601,pdh-tc,s1-s2,buy,bullish,nifty
602,tc-pp,s1-s2,buy,bullish,nifty
603,pp-bc,s1-s2,buy,bullish,nifty
604,bc-pdl,s1-s2,buy,bullish,nifty
605,bc-s1,s1-s2,buy,bullish,nifty
606,pdl-s1,s1-s2,buy,bullish,nifty
607,s1-pdl,s1-s2,buy,bullish,nifty
608,pdl-s2,s1-s2,buy,bullish,nifty
609,s1-s2,s1-s2,buy,bullish,nifty
610,s2-s3,s1-s2,buy,bullish,nifty
611,< s3,s1-s2,buy,bullish,nifty
612,> r3,s2-s3,buy,bullish,nifty
613,r3-r2,s2-s3,buy,bullish,nifty
614,r2-pdh,s2-s3,buy,bullish,nifty
615,r2-r1,s2-s3,buy,bullish,nifty
616,pdh-r1,s2-s3,buy,bullish,nifty
617,r1-pdh,s2-s3,buy,bullish,nifty
618,r1-tc,s2-s3,buy,bullish,nifty
619,pdh-tc,s2-s3,sell,bullish,nifty
620,tc-pp,s2-s3,buy,bullish,nifty
621,pp-bc,s2-s3,buy,bullish,nifty
622,bc-pdl,s2-s3,buy,bullish,nifty
623,bc-s1,s2-s3,buy,bullish,nifty
624,pdl-s1,s2-s3,buy,bullish,nifty
625,s1-pdl,s2-s3,buy,bullish,nifty
626,pdl-s2,s2-s3,buy,bullish,nifty
627,s1-s2,s2-s3,buy,bullish,nifty
628,s2-s3,s2-s3,buy,bullish,nifty
629,< s3,s2-s3,buy,bullish,nifty
630,> r3,< s3,no_trade,bullish,nifty
631,r3-r2,< s3,no_trade,bullish,nifty
632,r2-pdh,< s3,no_trade,bullish,nifty
633,r2-r1,< s3,no_trade,bullish,nifty
634,pdh-r1,< s3,no_trade,bullish,nifty
635,r1-pdh,< s3,no_trade,bullish,nifty
636,r1-tc,< s3,no_trade,bullish,nifty
637,pdh-tc,< s3,no_trade,bullish,nifty
638,tc-pp,< s3,no_trade,bullish,nifty
639,pp-bc,< s3,no_trade,bullish,nifty
640,bc-pdl,< s3,no_trade,bullish,nifty
641,bc-s1,< s3,no_trade,bullish,nifty
642,pdl-s1,< s3,no_trade,bullish,nifty
643,s1-pdl,< s3,no_trade,bullish,nifty
644,pdl-s2,< s3,no_trade,bullish,nifty
645,s1-s2,< s3,no_trade,bullish,nifty
646,s2-s3,< s3,no_trade,bullish,nifty
647,< s3,< s3,no_trade,bullish,nifty
648,> r3,> r3,no_trade,bullish,banknifty
649,r3-r2,> r3,no_trade,bullish,banknifty
650,r2-pdh,> r3,no_trade,bullish,banknifty
651,r2-r1,> r3,no_trade,bullish,banknifty
652,pdh-r1,> r3,no_trade,bullish,banknifty
653,r1-pdh,> r3,no_trade,bullish,banknifty
654,r1-tc,> r3,no_trade,bullish,banknifty
655,pdh-tc,> r3,no_trade,bullish,banknifty
656,tc-pp,> r3,no_trade,bullish,banknifty
657,pp-bc,> r3,no_trade,bullish,banknifty
658,bc-pdl,> r3,no_trade,bullish,banknifty
659,bc-s1,> r3,no_trade,bullish,banknifty
660,pdl-s1,> r3,no_trade,bullish,banknifty
661,s1-pdl,> r3,no_trade,bullish,banknifty
662,pdl-s2,> r3,no_trade,bullish,banknifty
663,s1-s2,> r3,no_trade,bullish,banknifty
664,s2-s3,> r3,no_trade,bullish,banknifty
665,< s3,> r3,no_trade,bullish,banknifty
666,> r3,r3-r2,sell,bullish,banknifty
667,r3-r2,r3-r2,sell,bullish,banknifty
668,r2-pdh,r3-r2,sell,bullish,banknifty
669,r2-r1,r3-r2,sell,bullish,banknifty
670,pdh-r1,r3-r2,sell,bullish,banknifty
671,r1-pdh,r3-r2,sell,bullish,banknifty
672,r1-tc,r3-r2,buy,bullish,banknifty
673,pdh-tc,r3-r2,sell,bullish,banknifty
674,tc-pp,r3-r2,sell,bullish,banknifty
675,pp-bc,r3-r2,sell,bullish,banknifty
676,bc-pdl,r3-r2,sell,bullish,banknifty
677,bc-s1,r3-r2,sell,bullish,banknifty
678,pdl-s1,r3-r2,sell,bullish,banknifty
679,s1-pdl,r3-r2,sell,bullish,banknifty
680,pdl-s2,r3-r2,sell,bullish,banknifty
681,s1-s2,r3-r2,sell,bullish,banknifty
682,s2-s3,r3-r2,sell,bullish,banknifty
683,< s3,r3-r2,sell,bullish,banknifty
684,> r3,r2-pdh,sell,bullish,banknifty
685,r3-r2,r2-pdh,sell,bullish,banknifty
686,r2-pdh,r2-pdh,sell,bullish,banknifty
687,r2-r1,r2-pdh,sell,bullish,banknifty
688,pdh-r1,r2-pdh,sell,bullish,banknifty
689,r1-pdh,r2-pdh,sell,bullish,banknifty
690,r1-tc,r2-pdh,sell,bullish,banknifty
691,pdh-tc,r2-pdh,sell,bullish,banknifty
692,tc-pp,r2-pdh,sell,bullish,banknifty
693,pp-bc,r2-pdh,sell,bullish,banknifty
694,bc-pdl,r2-pdh,sell,bullish,banknifty
695,bc-s1,r2-pdh,sell,bullish,banknifty
696,pdl-s1,r2-pdh,sell,bullish,banknifty
697,s1-pdl,r2-pdh,sell,bullish,banknifty
698,pdl-s2,r2-pdh,sell,bullish,banknifty
699,s1-s2,r2-pdh,sell,bullish,banknifty
700,s2-s3,r2-pdh,sell,bullish,banknifty
701,< s3,r2-pdh,sell,bullish,banknifty
702,> r3,r2-r1,sell,bullish,banknifty
703,r3-r2,r2-r1,sell,bullish,banknifty
704,r2-pdh,r2-r1,buy,bullish,banknifty
705,r2-r1,r2-r1,sell,bullish,banknifty
706,pdh-r1,r2-r1,sell,bullish,banknifty
707,r1-pdh,r2-r1,sell,bullish,banknifty
708,r1-tc,r2-r1,sell,bullish,banknifty
709,pdh-tc,r2-r1,buy,bullish,banknifty
710,tc-pp,r2-r1,sell,bullish,banknifty
711,pp-bc,r2-r1,sell,bullish,banknifty
712,bc-pdl,r2-r1,sell,bullish,banknifty
713,bc-s1,r2-r1,sell,bullish,banknifty
714,pdl-s1,r2-r1,sell,bullish,banknifty
715,s1-pdl,r2-r1,sell,bullish,banknifty
716,pdl-s2,r2-r1,sell,bullish,banknifty
717,s1-s2,r2-r1,sell,bullish,banknifty
718,s2-s3,r2-r1,sell,bullish,banknifty
719,< s3,r2-r1,sell,bullish,banknifty
720,> r3,pdh-r1,sell,bullish,banknifty
721,r3-r2,pdh-r1,sell,bullish,banknifty
722,r2-pdh,pdh-r1,sell,bullish,banknifty
723,r2-r1,pdh-r1,sell,bullish,banknifty
724,pdh-r1,pdh-r1,sell,bullish,banknifty
725,r1-pdh,pdh-r1,sell,bullish,banknifty
726,r1-tc,pdh-r1,sell,bullish,banknifty
727,pdh-tc,pdh-r1,sell,bullish,banknifty
728,tc-pp,pdh-r1,sell,bullish,banknifty
729,pp-bc,pdh-r1,sell,bullish,banknifty
730,bc-pdl,pdh-r1,sell,bullish,banknifty
731,bc-s1,pdh-r1,sell,bullish,banknifty
732,pdl-s1,pdh-r1,sell,bullish,banknifty
733,s1-pdl,pdh-r1,sell,bullish,banknifty
734,pdl-s2,pdh-r1,sell,bullish,banknifty
735,s1-s2,pdh-r1,buy,bullish,banknifty
736,s2-s3,pdh-r1,sell,bullish,banknifty
737,< s3,pdh-r1,sell,bullish,banknifty
738,> r3,r1-pdh,sell,bullish,banknifty
739,r3-r2,r1-pdh,buy,bullish,banknifty
740,r2-pdh,r1-pdh,sell,bullish,banknifty
741,r2-r1,r1-pdh,sell,bullish,banknifty
742,pdh-r1,r1-pdh,sell,bullish,banknifty
743,r1-pdh,r1-pdh,sell,bullish,banknifty
744,r1-tc,r1-pdh,sell,bullish,banknifty
745,pdh-tc,r1-pdh,sell,bullish,banknifty
746,tc-pp,r1-pdh,sell,bullish,banknifty
747,pp-bc,r1-pdh,sell,bullish,banknifty
748,bc-pdl,r1-pdh,sell,bullish,banknifty
749,bc-s1,r1-pdh,sell,bullish,banknifty
750,pdl-s1,r1-pdh,sell,bullish,banknifty
751,s1-pdl,r1-pdh,sell,bullish,banknifty
752,pdl-s2,r1-pdh,sell,bullish,banknifty
753,s1-s2,r1-pdh,sell,bullish,banknifty
754,s2-s3,r1-pdh,sell,bullish,banknifty
755,< s3,r1-pdh,sell,bullish,banknifty
756,> r3,r1-tc,sell,bullish,banknifty
757,r3-r2,r1-tc,sell,bullish,banknifty
758,r2-pdh,r1-tc,sell,bullish,banknifty
759,r2-r1,r1-tc,sell,bullish,banknifty
760,pdh-r1,r1-tc,sell,bullish,banknifty
761,r1-pdh,r1-tc,sell,bullish,banknifty
762,r1-tc,r1-tc,buy,bullish,banknifty
763,pdh-tc,r1-tc,sell,bullish,banknifty
764,tc-pp,r1-tc,sell,bullish,banknifty
765,pp-bc,r1-tc,sell,bullish,banknifty
766,bc-pdl,r1-tc,sell,bullish,banknifty
767,bc-s1,r1-tc,sell,bullish,banknifty
768,pdl-s1,r1-tc,sell,bullish,banknifty
769,s1-pdl,r1-tc,sell,bullish,banknifty
770,pdl-s2,r1-tc,sell,bullish,banknifty
771,s1-s2,r1-tc,sell,bullish,banknifty
772,s2-s3,r1-tc,sell,bullish,banknifty
773,< s3,r1-tc,sell,bullish,banknifty
774,> r3,pdh-tc,sell,bullish,banknifty
775,r3-r2,pdh-tc,sell,bullish,banknifty
776,r2-pdh,pdh-tc,sell,bullish,banknifty
777,r2-r1,pdh-tc,sell,bullish,banknifty
778,pdh-r1,pdh-tc,sell,bullish,banknifty
779,r1-pdh,pdh-tc,sell,bullish,banknifty
780,r1-tc,pdh-tc,buy,bullish,banknifty
781,pdh-tc,pdh-tc,sell,bullish,banknifty
782,tc-pp,pdh-tc,sell,bullish,banknifty
783,pp-bc,pdh-tc,sell,bullish,banknifty
784,bc-pdl,pdh-tc,sell,bullish,banknifty
785,bc-s1,pdh-tc,sell,bullish,banknifty
786,pdl-s1,pdh-tc,buy,bullish,banknifty
787,s1-pdl,pdh-tc,sell,bullish,banknifty
788,pdl-s2,pdh-tc,sell,bullish,banknifty
789,s1-s2,pdh-tc,sell,bullish,banknifty
790,s2-s3,pdh-tc,sell,bullish,banknifty
791,< s3,pdh-tc,sell,bullish,banknifty
792,> r3,tc-pp,sell,bullish,banknifty
793,r3-r2,tc-pp,sell,bullish,banknifty
794,r2-pdh,tc-pp,sell,bullish,banknifty
795,r2-r1,tc-pp,sell,bullish,banknifty
796,pdh-r1,tc-pp,buy,bullish,banknifty
797,r1-pdh,tc-pp,sell,bullish,banknifty
798,r1-tc,tc-pp,sell,bullish,banknifty
799,pdh-tc,tc-pp,sell,bullish,banknifty
800,tc-pp,tc-pp,sell,bullish,banknifty
801,pp-bc,tc-pp,sell,bullish,banknifty
802,bc-pdl,tc-pp,sell,bullish,banknifty
803,bc-s1,tc-pp,sell,bullish,banknifty
804,pdl-s1,tc-pp,sell,bullish,banknifty
805,s1-pdl,tc-pp,sell,bullish,banknifty
806,pdl-s2,tc-pp,sell,bullish,banknifty
807,s1-s2,tc-pp,sell,bullish,banknifty
808,s2-s3,tc-pp,sell,bullish,banknifty
809,< s3,tc-pp,sell,bullish,banknifty
810,> r3,pp-bc,buy,bullish,banknifty
811,r3-r2,pp-bc,buy,bullish,banknifty
812,r2-pdh,pp-bc,buy,bullish,banknifty
813,r2-r1,pp-bc,buy,bullish,banknifty
814,pdh-r1,pp-bc,buy,bullish,banknifty
815,r1-pdh,pp-bc,buy,bullish,banknifty
816,r1-tc,pp-bc,buy,bullish,banknifty
817,pdh-tc,pp-bc,buy,bullish,banknifty
818,tc-pp,pp-bc,buy,bullish,banknifty
819,pp-bc,pp-bc,buy,bullish,banknifty
820,bc-pdl,pp-bc,buy,bullish,banknifty
821,bc-s1,pp-bc,buy,bullish,banknifty
822,pdl-s1,pp-bc,buy,bullish,banknifty
823,s1-pdl,pp-bc,buy,bullish,banknifty
824,pdl-s2,pp-bc,buy,bullish,banknifty
825,s1-s2,pp-bc,buy,bullish,banknifty
826,s2-s3,pp-bc,buy,bullish,banknifty
827,< s3,pp-bc,buy,bullish,banknifty
828,> r3,bc-pdl,buy,bullish,banknifty
829,r3-r2,bc-pdl,buy,bullish,banknifty
830,r2-pdh,bc-pdl,buy,bullish,banknifty
831,r2-r1,bc-pdl,sell,bullish,banknifty
832,pdh-r1,bc-pdl,buy,bullish,banknifty
833,r1-pdh,bc-pdl,buy,bullish,banknifty
834,r1-tc,bc-pdl,buy,bullish,banknifty
835,pdh-tc,bc-pdl,buy,bullish,banknifty
836,tc-pp,bc-pdl,buy,bullish,banknifty
837,pp-bc,bc-pdl,buy,bullish,banknifty
838,bc-pdl,bc-pdl,buy,bullish,banknifty
839,bc-s1,bc-pdl,buy,bullish,banknifty
840,pdl-s1,bc-pdl,buy,bullish,banknifty
841,s1-pdl,bc-pdl,buy,bullish,banknifty
842,pdl-s2,bc-pdl,buy,bullish,banknifty
843,s1-s2,bc-pdl,buy,bullish,banknifty
844,s2-s3,bc-pdl,buy,bullish,banknifty
845,< s3,bc-pdl,buy,bullish,banknifty
846,> r3,bc-s1,buy,bullish,banknifty
847,r3-r2,bc-s1,buy,bullish,banknifty
848,r2-pdh,bc-s1,buy,bullish,banknifty
849,r2-r1,bc-s1,buy,bullish,banknifty
850,pdh-r1,bc-s1,buy,bullish,banknifty
851,r1-pdh,bc-s1,buy,bullish,banknifty
852,r1-tc,bc-s1,buy,bullish,banknifty
853,pdh-tc,bc-s1,buy,bullish,banknifty
854,tc-pp,bc-s1,buy,bullish,banknifty
855,pp-bc,bc-s1,buy,bullish,banknifty
856,bc-pdl,bc-s1,buy,bullish,banknifty
857,bc-s1,bc-s1,buy,bullish,banknifty
858,pdl-s1,bc-s1,buy,bullish,banknifty
859,s1-pdl,bc-s1,buy,bullish,banknifty
860,pdl-s2,bc-s1,buy,bullish,banknifty
861,s1-s2,bc-s1,buy,bullish,banknifty
862,s2-s3,bc-s1,buy,bullish,banknifty
863,< s3,bc-s1,buy,bullish,banknifty
864,> r3,pdl-s1,buy,bullish,banknifty
865,r3-r2,pdl-s1,buy,bullish,banknifty
866,r2-pdh,pdl-s1,buy,bullish,banknifty
867,r2-r1,pdl-s1,buy,bullish,banknifty
868,pdh-r1,pdl-s1,buy,bullish,banknifty
869,r1-pdh,pdl-s1,buy,bullish,banknifty
870,r1-tc,pdl-s1,buy,bullish,banknifty
871,pdh-tc,pdl-s1,buy,bullish,banknifty
872,tc-pp,pdl-s1,buy,bullish,banknifty
873,pp-bc,pdl-s1,buy,bullish,banknifty
874,bc-pdl,pdl-s1,buy,bullish,banknifty
875,bc-s1,pdl-s1,buy,bullish,banknifty
876,pdl-s1,pdl-s1,buy,bullish,banknifty
877,s1-pdl,pdl-s1,buy,bullish,banknifty
878,pdl-s2,pdl-s1,buy,bullish,banknifty
879,s1-s2,pdl-s1,buy,bullish,banknifty
880,s2-s3,pdl-s1,buy,bullish,banknifty
881,< s3,pdl-s1,buy,bullish,banknifty
882,> r3,s1-pdl,buy,bullish,banknifty
883,r3-r2,s1-pdl,buy,bullish,banknifty
884,r2-pdh,s1-pdl,buy,bullish,banknifty
885,r2-r1,s1-pdl,buy,bullish,banknifty
886,pdh-r1,s1-pdl,buy,bullish,banknifty
887,r1-pdh,s1-pdl,buy,bullish,banknifty
888,r1-tc,s1-pdl,buy,bullish,banknifty
889,pdh-tc,s1-pdl,buy,bullish,banknifty
