yesterdays_candle,todays_candle,decision,candle_type,script
pp-bc,r1-tc,sell,bullish,NIFTY 50
bc-pdl,r1-tc,sell,bullish,NIFTY 50
bc-s1,r1-tc,sell,bullish,NIFTY 50
pdl-s1,r1-tc,sell,bullish,NIFTY 50
s1-pdl,r1-tc,sell,bullish,NIFTY 50
pdl-s2,r1-tc,sell,bullish,NIFTY 50
s1-s2,r1-tc,buy,bullish,NIFTY 50
s2-s3,r1-tc,sell,bullish,NIFTY 50
< s3,r1-tc,sell,bullish,NIFTY 50
> r3,pdh-tc,sell,bullish,NIFTY 50
r3-r2,pdh-tc,sell,bullish,NIFTY 50
r2-pdh,pdh-tc,sell,bullish,NIFTY 50
r2-r1,pdh-tc,sell,bullish,NIFTY 50
pdh-r1,pdh-tc,sell,bullish,NIFTY 50
r1-pdh,pdh-tc,sell,bullish,NIFTY 50
r1-tc,pdh-tc,sell,bullish,NIFTY 50
pdh-tc,pdh-tc,sell,bullish,NIFTY 50
tc-pp,pdh-tc,sell,bullish,NIFTY 50
pp-bc,pdh-tc,buy,bullish,NIFTY 50
bc-pdl,pdh-tc,sell,bullish,NIFTY 50
bc-s1,pdh-tc,sell,bullish,NIFTY 50
pdl-s1,pdh-tc,sell,bullish,NIFTY 50
s1-pdl,pdh-tc,sell,bullish,NIFTY 50
pdl-s2,pdh-tc,sell,bullish,NIFTY 50
s1-s2,pdh-tc,sell,bullish,NIFTY 50
s2-s3,pdh-tc,sell,bullish,NIFTY 50
< s3,pdh-tc,sell,bullish,NIFTY 50
> r3,tc-pp,buy,bullish,NIFTY 50
r3-r2,tc-pp,sell,bullish,NIFTY 50
r2-pdh,tc-pp,sell,bullish,NIFTY 50
r2-r1,tc-pp,sell,bullish,NIFTY 50
pdh-r1,tc-pp,sell,bullish,NIFTY 50
r1-pdh,tc-pp,sell,bullish,NIFTY 50
r1-tc,tc-pp,buy,bullish,NIFTY 50
pdh-tc,tc-pp,buy,bullish,NIFTY 50
tc-pp,tc-pp,sell,bullish,NIFTY 50
pp-bc,tc-pp,buy,bullish,NIFTY 50
bc-pdl,tc-pp,sell,bullish,NIFTY 50
bc-s1,tc-pp,sell,bullish,NIFTY 50
pdl-s1,tc-pp,sell,bullish,NIFTY 50
s1-pdl,tc-pp,sell,bullish,NIFTY 50
pdl-s2,tc-pp,sell,bullish,NIFTY 50
s1-s2,tc-pp,buy,bullish,NIFTY 50
s2-s3,tc-pp,sell,bullish,NIFTY 50
< s3,tc-pp,sell,bullish,NIFTY 50
> r3,pp-bc,buy,bullish,NIFTY 50
r3-r2,pp-bc,buy,bullish,NIFTY 50
r2-pdh,pp-bc,buy,bullish,NIFTY 50
r2-r1,pp-bc,buy,bullish,NIFTY 50
pdh-r1,pp-bc,buy,bullish,NIFTY 50
r1-pdh,pp-bc,buy,bullish,NIFTY 50
r1-tc,pp-bc,buy,bullish,NIFTY 50
pdh-tc,pp-bc,sell,bullish,NIFTY 50
tc-pp,pp-bc,buy,bullish,NIFTY 50
pp-bc,pp-bc,buy,bullish,NIFTY 50
bc-pdl,pp-bc,buy,bullish,NIFTY 50
bc-s1,pp-bc,buy,bullish,NIFTY 50
pdl-s1,pp-bc,buy,bullish,NIFTY 50
s1-pdl,pp-bc,buy,bullish,NIFTY 50
pdl-s2,pp-bc,buy,bullish,NIFTY 50
s1-s2,pp-bc,sell,bullish,NIFTY 50
s2-s3,pp-bc,buy,bullish,NIFTY 50
< s3,pp-bc,buy,bullish,NIFTY 50
> r3,bc-pdl,buy,bullish,NIFTY 50
r3-r2,bc-pdl,buy,bullish,NIFTY 50
r2-pdh,bc-pdl,buy,bullish,NIFTY 50
r2-r1,bc-pdl,buy,bullish,NIFTY 50
pdh-r1,bc-pdl,buy,bullish,NIFTY 50
r1-pdh,bc-pdl,buy,bullish,NIFTY 50
r1-tc,bc-pdl,buy,bullish,NIFTY 50
pdh-tc,bc-pdl,buy,bullish,NIFTY 50
tc-pp,bc-pdl,buy,bullish,NIFTY 50
pp-bc,bc-pdl,buy,bullish,NIFTY 50
bc-pdl,bc-pdl,buy,bullish,NIFTY 50
bc-s1,bc-pdl,buy,bullish,NIFTY 50
pdl-s1,bc-pdl,sell,bullish,NIFTY 50
s1-pdl,bc-pdl,buy,bullish,NIFTY 50
pdl-s2,bc-pdl,buy,bullish,NIFTY 50
s1-s2,bc-pdl,buy,bullish,NIFTY 50
s2-s3,bc-pdl,buy,bullish,NIFTY 50
< s3,bc-pdl,sell,bullish,NIFTY 50
> r3,bc-s1,sell,bullish,NIFTY 50
r3-r2,bc-s1,buy,bullish,NIFTY 50
r2-pdh,bc-s1,buy,bullish,NIFTY 50
r2-r1,bc-s1,buy,bullish,NIFTY 50
pdh-r1,bc-s1,buy,bullish,NIFTY 50
r1-pdh,bc-s1,buy,bullish,NIFTY 50
r1-tc,bc-s1,buy,bullish,NIFTY 50
pdh-tc,bc-s1,buy,bullish,NIFTY 50
tc-pp,bc-s1,buy,bullish,NIFTY 50
pp-bc,bc-s1,buy,bullish,NIFTY 50
bc-pdl,bc-s1,buy,bullish,NIFTY 50
bc-s1,bc-s1,buy,bullish,NIFTY 50
pdl-s1,bc-s1,buy,bullish,NIFTY 50
s1-pdl,bc-s1,buy,bullish,NIFTY 50
pdl-s2,bc-s1,buy,bullish,NIFTY 50
s1-s2,bc-s1,buy,bullish,NIFTY 50
s2-s3,bc-s1,buy,bullish,NIFTY 50
< s3,bc-s1,buy,bullish,NIFTY 50
> r3,pdl-s1,buy,bullish,NIFTY 50
r3-r2,pdl-s1,buy,bullish,NIFTY 50
r2-pdh,pdl-s1,buy,bullish,NIFTY 50
r2-r1,pdl-s1,buy,bullish,NIFTY 50
pdh-r1,pdl-s1,buy,bullish,NIFTY 50
r1-pdh,pdl-s1,buy,bullish,NIFTY 50
r1-tc,pdl-s1,buy,bullish,NIFTY 50
pdh-tc,pdl-s1,buy,bullish,NIFTY 50
tc-pp,pdl-s1,buy,bullish,NIFTY 50
pp-bc,pdl-s1,buy,bullish,NIFTY 50
bc-pdl,pdl-s1,buy,bullish,NIFTY 50
bc-s1,pdl-s1,buy,bullish,NIFTY 50
pdl-s1,pdl-s1,buy,bullish,NIFTY 50
s1-pdl,pdl-s1,buy,bullish,NIFTY 50
pdl-s2,pdl-s1,sell,bullish,NIFTY 50
s1-s2,pdl-s1,buy,bullish,NIFTY 50
s2-s3,pdl-s1,buy,bullish,NIFTY 50
< s3,pdl-s1,buy,bullish,NIFTY 50
> r3,s1-pdl,buy,bullish,NIFTY 50
r3-r2,s1-pdl,buy,bullish,NIFTY 50
r2-pdh,s1-pdl,buy,bullish,NIFTY 50
r2-r1,s1-pdl,buy,bullish,NIFTY 50
pdh-r1,s1-pdl,buy,bullish,NIFTY 50
r1-pdh,s1-pdl,buy,bullish,NIFTY 50
r1-tc,s1-pdl,buy,bullish,NIFTY 50
pdh-tc,s1-pdl,buy,bullish,NIFTY 50
tc-pp,s1-pdl,buy,bullish,NIFTY 50
pp-bc,s1-pdl,buy,bullish,NIFTY 50
bc-pdl,s1-pdl,buy,bullish,NIFTY 50
bc-s1,s1-pdl,buy,bullish,NIFTY 50
pdl-s1,s1-pdl,buy,bullish,NIFTY 50
s1-pdl,s1-pdl,buy,bullish,NIFTY 50
pdl-s2,s1-pdl,buy,bullish,NIFTY 50
s1-s2,s1-pdl,buy,bullish,NIFTY 50
s2-s3,s1-pdl,buy,bullish,NIFTY 50
< s3,s1-pdl,buy,bullish,NIFTY 50
> r3,pdl-s2,buy,bullish,NIFTY 50
r3-r2,pdl-s2,buy,bullish,NIFTY 50
r2-pdh,pdl-s2,buy,bullish,NIFTY 50
r2-r1,pdl-s2,buy,bullish,NIFTY 50
pdh-r1,pdl-s2,buy,bullish,NIFTY 50
r1-pdh,pdl-s2,buy,bullish,NIFTY 50
r1-tc,pdl-s2,buy,bullish,NIFTY 50
pdh-tc,pdl-s2,buy,bullish,NIFTY 50
tc-pp,pdl-s2,buy,bullish,NIFTY 50
pp-bc,pdl-s2,buy,bullish,NIFTY 50
bc-pdl,pdl-s2,buy,bullish,NIFTY 50
bc-s1,pdl-s2,buy,bullish,NIFTY 50
pdl-s1,pdl-s2,buy,bullish,NIFTY 50
s1-pdl,pdl-s2,buy,bullish,NIFTY 50
pdl-s2,pdl-s2,buy,bullish,NIFTY 50
s1-s2,pdl-s2,buy,bullish,NIFTY 50
s2-s3,pdl-s2,buy,bullish,NIFTY 50
< s3,pdl-s2,buy,bullish,NIFTY 50
> r3,s1-s2,buy,bullish,NIFTY 50
r3-r2,s1-s2,buy,bullish,NIFTY 50
r2-pdh,s1-s2,buy,bullish,NIFTY 50
r2-r1,s1-s2,buy,bullish,NIFTY 50
pdh-r1,s1-s2,buy,bullish,NIFTY 50
r1-pdh,s1-s2,buy,bullish,NIFTY 50
r1-tc,s1-s2,buy,bullish,NIFTY 50
pdh-tc,s1-s2,buy,bullish,NIFTY 50
tc-pp,s1-s2,buy,bullish,NIFTY 50
pp-bc,s1-s2,buy,bullish,NIFTY 50
bc-pdl,s1-s2,buy,bullish,NIFTY 50
bc-s1,s1-s2,buy,bullish,NIFTY 50
pdl-s1,s1-s2,buy,bullish,NIFTY 50
s1-pdl,s1-s2,buy,bullish,NIFTY 50
pdl-s2,s1-s2,buy,bullish,NIFTY 50
s1-s2,s1-s2,buy,bullish,NIFTY 50
s2-s3,s1-s2,buy,bullish,NIFTY 50
< s3,s1-s2,buy,bullish,NIFTY 50
> r3,s2-s3,buy,bullish,NIFTY 50
r3-r2,s2-s3,buy,bullish,NIFTY 50
r2-pdh,s2-s3,buy,bullish,NIFTY 50
r2-r1,s2-s3,buy,bullish,NIFTY 50
pdh-r1,s2-s3,buy,bullish,NIFTY 50
r1-pdh,s2-s3,buy,bullish,NIFTY 50
r1-tc,s2-s3,buy,bullish,NIFTY 50
pdh-tc,s2-s3,sell,bullish,NIFTY 50
tc-pp,s2-s3,buy,bullish,NIFTY 50
pp-bc,s2-s3,buy,bullish,NIFTY 50
bc-pdl,s2-s3,buy,bullish,NIFTY 50
bc-s1,s2-s3,buy,bullish,NIFTY 50
pdl-s1,s2-s3,buy,bullish,NIFTY 50
s1-pdl,s2-s3,buy,bullish,NIFTY 50
pdl-s2,s2-s3,buy,bullish,NIFTY 50
s1-s2,s2-s3,buy,bullish,NIFTY 50
s2-s3,s2-s3,buy,bullish,NIFTY 50
< s3,s2-s3,buy,bullish,NIFTY 50
> r3,< s3,no_trade,bullish,NIFTY 50
r3-r2,< s3,no_trade,bullish,NIFTY 50
r2-pdh,< s3,no_trade,bullish,NIFTY 50
r2-r1,< s3,no_trade,bullish,NIFTY 50
pdh-r1,< s3,no_trade,bullish,NIFTY 50
r1-pdh,< s3,no_trade,bullish,NIFTY 50
r1-tc,< s3,no_trade,bullish,NIFTY 50
pdh-tc,< s3,no_trade,bullish,NIFTY 50
tc-pp,< s3,no_trade,bullish,NIFTY 50
pp-bc,< s3,no_trade,bullish,NIFTY 50
bc-pdl,< s3,no_trade,bullish,NIFTY 50
bc-s1,< s3,no_trade,bullish,NIFTY 50
pdl-s1,< s3,no_trade,bullish,NIFTY 50
s1-pdl,< s3,no_trade,bullish,NIFTY 50
pdl-s2,< s3,no_trade,bullish,NIFTY 50
s1-s2,< s3,no_trade,bullish,NIFTY 50
s2-s3,< s3,no_trade,bullish,NIFTY 50
< s3,< s3,no_trade,bullish,NIFTY 50
> r3,> r3,no_trade,bullish,NIFTY BANK
r3-r2,> r3,no_trade,bullish,NIFTY BANK
r2-pdh,> r3,no_trade,bullish,NIFTY BANK
r2-r1,> r3,no_trade,bullish,NIFTY BANK
pdh-r1,> r3,no_trade,bullish,NIFTY BANK
r1-pdh,> r3,no_trade,bullish,NIFTY BANK
r1-tc,> r3,no_trade,bullish,NIFTY BANK
pdh-tc,> r3,no_trade,bullish,NIFTY BANK
tc-pp,> r3,no_trade,bullish,NIFTY BANK
pp-bc,> r3,no_trade,bullish,NIFTY BANK
bc-pdl,> r3,no_trade,bullish,NIFTY BANK
bc-s1,> r3,no_trade,bullish,NIFTY BANK
pdl-s1,> r3,no_trade,bullish,NIFTY BANK
s1-pdl,> r3,no_trade,bullish,NIFTY BANK
pdl-s2,> r3,no_trade,bullish,NIFTY BANK
s1-s2,> r3,no_trade,bullish,NIFTY BANK
s2-s3,> r3,no_trade,bullish,NIFTY BANK
< s3,> r3,no_trade,bullish,NIFTY BANK
> r3,r3-r2,sell,bullish,NIFTY BANK
r3-r2,r3-r2,sell,bullish,NIFTY BANK
r2-pdh,r3-r2,sell,bullish,NIFTY BANK
r2-r1,r3-r2,sell,bullish,NIFTY BANK
pdh-r1,r3-r2,sell,bullish,NIFTY BANK
r1-pdh,r3-r2,sell,bullish,NIFTY BANK
r1-tc,r3-r2,buy,bullish,NIFTY BANK
pdh-tc,r3-r2,sell,bullish,NIFTY BANK
tc-pp,r3-r2,sell,bullish,NIFTY BANK
pp-bc,r3-r2,sell,bullish,NIFTY BANK
bc-pdl,r3-r2,sell,bullish,NIFTY BANK
bc-s1,r3-r2,sell,bullish,NIFTY BANK
pdl-s1,r3-r2,sell,bullish,NIFTY BANK
s1-pdl,r3-r2,sell,bullish,NIFTY BANK
pdl-s2,r3-r2,sell,bullish,NIFTY BANK
s1-s2,r3-r2,sell,bullish,NIFTY BANK
s2-s3,r3-r2,sell,bullish,NIFTY BANK
< s3,r3-r2,sell,bullish,NIFTY BANK
> r3,r2-pdh,sell,bullish,NIFTY BANK
r3-r2,r2-pdh,sell,bullish,NIFTY BANK
r2-pdh,r2-pdh,sell,bullish,NIFTY BANK
r2-r1,r2-pdh,sell,bullish,NIFTY BANK
pdh-r1,r2-pdh,sell,bullish,NIFTY BANK
r1-pdh,r2-pdh,sell,bullish,NIFTY BANK
r1-tc,r2-pdh,sell,bullish,NIFTY BANK
pdh-tc,r2-pdh,sell,bullish,NIFTY BANK
tc-pp,r2-pdh,sell,bullish,NIFTY BANK
pp-bc,r2-pdh,sell,bullish,NIFTY BANK
bc-pdl,r2-pdh,sell,bullish,NIFTY BANK
bc-s1,r2-pdh,sell,bullish,NIFTY BANK
pdl-s1,r2-pdh,sell,bullish,NIFTY BANK
s1-pdl,r2-pdh,sell,bullish,NIFTY BANK
pdl-s2,r2-pdh,sell,bullish,NIFTY BANK
s1-s2,r2-pdh,sell,bullish,NIFTY BANK
s2-s3,r2-pdh,sell,bullish,NIFTY BANK
< s3,r2-pdh,sell,bullish,NIFTY BANK
> r3,r2-r1,sell,bullish,NIFTY BANK
r3-r2,r2-r1,sell,bullish,NIFTY BANK
r2-pdh,r2-r1,buy,bullish,NIFTY BANK
r2-r1,r2-r1,sell,bullish,NIFTY BANK
pdh-r1,r2-r1,sell,bullish,NIFTY BANK
r1-pdh,r2-r1,sell,bullish,NIFTY BANK
r1-tc,r2-r1,sell,bullish,NIFTY BANK
pdh-tc,r2-r1,buy,bullish,NIFTY BANK
tc-pp,r2-r1,sell,bullish,NIFTY BANK
pp-bc,r2-r1,sell,bullish,NIFTY BANK
bc-pdl,r2-r1,sell,bullish,NIFTY BANK
bc-s1,r2-r1,sell,bullish,NIFTY BANK
pdl-s1,r2-r1,sell,bullish,NIFTY BANK
s1-pdl,r2-r1,sell,bullish,NIFTY BANK
pdl-s2,r2-r1,sell,bullish,NIFTY BANK
s1-s2,r2-r1,sell,bullish,NIFTY BANK
s2-s3,r2-r1,sell,bullish,NIFTY BANK
< s3,r2-r1,sell,bullish,NIFTY BANK
> r3,pdh-r1,sell,bullish,NIFTY BANK
r3-r2,pdh-r1,sell,bullish,NIFTY BANK
r2-pdh,pdh-r1,sell,bullish,NIFTY BANK
r2-r1,pdh-r1,sell,bullish,NIFTY BANK
pdh-r1,pdh-r1,sell,bullish,NIFTY BANK
r1-pdh,pdh-r1,sell,bullish,NIFTY BANK
r1-tc,pdh-r1,sell,bullish,NIFTY BANK
pdh-tc,pdh-r1,sell,bullish,NIFTY BANK
tc-pp,pdh-r1,sell,bullish,NIFTY BANK
pp-bc,pdh-r1,sell,bullish,NIFTY BANK
bc-pdl,pdh-r1,sell,bullish,NIFTY BANK
bc-s1,pdh-r1,sell,bullish,NIFTY BANK
pdl-s1,pdh-r1,sell,bullish,NIFTY BANK
s1-pdl,pdh-r1,sell,bullish,NIFTY BANK
pdl-s2,pdh-r1,sell,bullish,NIFTY BANK
s1-s2,pdh-r1,buy,bullish,NIFTY BANK
s2-s3,pdh-r1,sell,bullish,NIFTY BANK
< s3,pdh-r1,sell,bullish,NIFTY BANK
> r3,r1-pdh,sell,bullish,NIFTY BANK
r3-r2,r1-pdh,buy,bullish,NIFTY BANK
r2-pdh,r1-pdh,sell,bullish,NIFTY BANK
r2-r1,r1-pdh,sell,bullish,NIFTY BANK
pdh-r1,r1-pdh,sell,bullish,NIFTY BANK
r1-pdh,r1-pdh,sell,bullish,NIFTY BANK
r1-tc,r1-pdh,sell,bullish,NIFTY BANK
pdh-tc,r1-pdh,sell,bullish,NIFTY BANK
tc-pp,r1-pdh,sell,bullish,NIFTY BANK
pp-bc,r1-pdh,sell,bullish,NIFTY BANK
bc-pdl,r1-pdh,sell,bullish,NIFTY BANK
bc-s1,r1-pdh,sell,bullish,NIFTY BANK
pdl-s1,r1-pdh,sell,bullish,NIFTY BANK
s1-pdl,r1-pdh,sell,bullish,NIFTY BANK
pdl-s2,r1-pdh,sell,bullish,NIFTY BANK
s1-s2,r1-pdh,sell,bullish,NIFTY BANK
s2-s3,r1-pdh,sell,bullish,NIFTY BANK
< s3,r1-pdh,sell,bullish,NIFTY BANK
> r3,r1-tc,sell,bullish,NIFTY BANK
r3-r2,r1-tc,sell,bullish,NIFTY BANK
r2-pdh,r1-tc,sell,bullish,NIFTY BANK
r2-r1,r1-tc,sell,bullish,NIFTY BANK
pdh-r1,r1-tc,sell,bullish,NIFTY BANK
r1-pdh,r1-tc,sell,bullish,NIFTY BANK
r1-tc,r1-tc,buy,bullish,NIFTY BANK
pdh-tc,r1-tc,sell,bullish,NIFTY BANK
tc-pp,r1-tc,sell,bullish,NIFTY BANK
pp-bc,r1-tc,sell,bullish,NIFTY BANK
bc-pdl,r1-tc,sell,bullish,NIFTY BANK
bc-s1,r1-tc,sell,bullish,NIFTY BANK
pdl-s1,r1-tc,sell,bullish,NIFTY BANK
s1-pdl,r1-tc,sell,bullish,NIFTY BANK
pdl-s2,r1-tc,sell,bullish,NIFTY BANK
s1-s2,r1-tc,sell,bullish,NIFTY BANK
s2-s3,r1-tc,sell,bullish,NIFTY BANK
< s3,r1-tc,sell,bullish,NIFTY BANK
> r3,pdh-tc,sell,bullish,NIFTY BANK
r3-r2,pdh-tc,sell,bullish,NIFTY BANK
r2-pdh,pdh-tc,sell,bullish,NIFTY BANK
r2-r1,pdh-tc,sell,bullish,NIFTY BANK
pdh-r1,pdh-tc,sell,bullish,NIFTY BANK
r1-pdh,pdh-tc,sell,bullish,NIFTY BANK
r1-tc,pdh-tc,buy,bullish,NIFTY BANK
pdh-tc,pdh-tc,sell,bullish,NIFTY BANK
tc-pp,pdh-tc,sell,bullish,NIFTY BANK
pp-bc,pdh-tc,sell,bullish,NIFTY BANK
bc-pdl,pdh-tc,sell,bullish,NIFTY BANK
bc-s1,pdh-tc,sell,bullish,NIFTY BANK
pdl-s1,pdh-tc,buy,bullish,NIFTY BANK
s1-pdl,pdh-tc,sell,bullish,NIFTY BANK
pdl-s2,pdh-tc,sell,bullish,NIFTY BANK
s1-s2,pdh-tc,sell,bullish,NIFTY BANK
s2-s3,pdh-tc,sell,bullish,NIFTY BANK
< s3,pdh-tc,sell,bullish,NIFTY BANK
> r3,tc-pp,sell,bullish,NIFTY BANK
r3-r2,tc-pp,sell,bullish,NIFTY BANK
r2-pdh,tc-pp,sell,bullish,NIFTY BANK
r2-r1,tc-pp,sell,bullish,NIFTY BANK
pdh-r1,tc-pp,buy,bullish,NIFTY BANK
r1-pdh,tc-pp,sell,bullish,NIFTY BANK
r1-tc,tc-pp,sell,bullish,NIFTY BANK
pdh-tc,tc-pp,sell,bullish,NIFTY BANK
tc-pp,tc-pp,sell,bullish,NIFTY BANK
pp-bc,tc-pp,sell,bullish,NIFTY BANK
bc-pdl,tc-pp,sell,bullish,NIFTY BANK
bc-s1,tc-pp,sell,bullish,NIFTY BANK
pdl-s1,tc-pp,sell,bullish,NIFTY BANK
s1-pdl,tc-pp,sell,bullish,NIFTY BANK
pdl-s2,tc-pp,sell,bullish,NIFTY BANK
s1-s2,tc-pp,sell,bullish,NIFTY BANK
s2-s3,tc-pp,sell,bullish,NIFTY BANK
< s3,tc-pp,sell,bullish,NIFTY BANK
> r3,pp-bc,buy,bullish,NIFTY BANK
r3-r2,pp-bc,buy,bullish,NIFTY BANK
r2-pdh,pp-bc,buy,bullish,NIFTY BANK
r2-r1,pp-bc,buy,bullish,NIFTY BANK
pdh-r1,pp-bc,buy,bullish,NIFTY BANK
r1-pdh,pp-bc,buy,bullish,NIFTY BANK
r1-tc,pp-bc,buy,bullish,NIFTY BANK
pdh-tc,pp-bc,buy,bullish,NIFTY BANK
tc-pp,pp-bc,buy,bullish,NIFTY BANK
pp-bc,pp-bc,buy,bullish,NIFTY BANK
bc-pdl,pp-bc,buy,bullish,NIFTY BANK
bc-s1,pp-bc,buy,bullish,NIFTY BANK
pdl-s1,pp-bc,buy,bullish,NIFTY BANK
s1-pdl,pp-bc,buy,bullish,NIFTY BANK
pdl-s2,pp-bc,buy,bullish,NIFTY BANK
s1-s2,pp-bc,buy,bullish,NIFTY BANK
s2-s3,pp-bc,buy,bullish,NIFTY BANK
< s3,pp-bc,buy,bullish,NIFTY BANK
> r3,bc-pdl,buy,bullish,NIFTY BANK
r3-r2,bc-pdl,buy,bullish,NIFTY BANK
r2-pdh,bc-pdl,buy,bullish,NIFTY BANK
r2-r1,bc-pdl,sell,bullish,NIFTY BANK
pdh-r1,bc-pdl,buy,bullish,NIFTY BANK
r1-pdh,bc-pdl,buy,bullish,NIFTY BANK
r1-tc,bc-pdl,buy,bullish,NIFTY BANK
pdh-tc,bc-pdl,buy,bullish,NIFTY BANK
tc-pp,bc-pdl,buy,bullish,NIFTY BANK
pp-bc,bc-pdl,buy,bullish,NIFTY BANK
bc-pdl,bc-pdl,buy,bullish,NIFTY BANK
bc-s1,bc-pdl,buy,bullish,NIFTY BANK
pdl-s1,bc-pdl,buy,bullish,NIFTY BANK
s1-pdl,bc-pdl,buy,bullish,NIFTY BANK
pdl-s2,bc-pdl,buy,bullish,NIFTY BANK
s1-s2,bc-pdl,buy,bullish,NIFTY BANK
s2-s3,bc-pdl,buy,bullish,NIFTY BANK
< s3,bc-pdl,buy,bullish,NIFTY BANK
> r3,bc-s1,buy,bullish,NIFTY BANK
r3-r2,bc-s1,buy,bullish,NIFTY BANK
r2-pdh,bc-s1,buy,bullish,NIFTY BANK
r2-r1,bc-s1,buy,bullish,NIFTY BANK
pdh-r1,bc-s1,buy,bullish,NIFTY BANK
r1-pdh,bc-s1,buy,bullish,NIFTY BANK
r1-tc,bc-s1,buy,bullish,NIFTY BANK
pdh-tc,bc-s1,buy,bullish,NIFTY BANK
tc-pp,bc-s1,buy,bullish,NIFTY BANK
pp-bc,bc-s1,buy,bullish,NIFTY BANK
bc-pdl,bc-s1,buy,bullish,NIFTY BANK
bc-s1,bc-s1,buy,bullish,NIFTY BANK
pdl-s1,bc-s1,buy,bullish,NIFTY BANK
s1-pdl,bc-s1,buy,bullish,NIFTY BANK
pdl-s2,bc-s1,buy,bullish,NIFTY BANK
s1-s2,bc-s1,buy,bullish,NIFTY BANK
s2-s3,bc-s1,buy,bullish,NIFTY BANK
< s3,bc-s1,buy,bullish,NIFTY BANK
> r3,pdl-s1,buy,bullish,NIFTY BANK
r3-r2,pdl-s1,buy,bullish,NIFTY BANK
r2-pdh,pdl-s1,buy,bullish,NIFTY BANK
r2-r1,pdl-s1,buy,bullish,NIFTY BANK
pdh-r1,pdl-s1,buy,bullish,NIFTY BANK
r1-pdh,pdl-s1,buy,bullish,NIFTY BANK
r1-tc,pdl-s1,buy,bullish,NIFTY BANK
pdh-tc,pdl-s1,buy,bullish,NIFTY BANK
tc-pp,pdl-s1,buy,bullish,NIFTY BANK
pp-bc,pdl-s1,buy,bullish,NIFTY BANK
