candle,para,level,stoch,cpr,signal,vwap_reversal
bearish,para 4,>s3,nu,c pcr < p cpr,buy,
bearish,para 4,>s3,nu,c cpr > p cpr,sell,
bearish,para 4,>s3,os,,buy,
bearish,para 4,bc-pdl,os,,sell,vwap_reversal
bearish,para 4,bc-pdl,nu,,sell,
bearish,para 4,bc-s1,nu,,buy,
bearish,para 4,bc-s1,os,,buy,
bearish,para 4,pdl-s1,nu,,buy,
bearish,para 4,pdl-s1,os,,buy,
bearish,para 4,pp-bc,nu,,sell,
bearish,para 4,pdl-s2,nu,,sell,vwap_reversal
bearish,para 4,pdl-s2,os,,buy,vwap_reversal
bearish,para 4,r1-pdh,os,,buy,
bearish,para 4,r2-r1,nu,,sell,
bearish,para 4,pdh-tc,nu,,buy,
bearish,para 4,s1-pdl,nu,,sell,vwap_reversal
bearish,para 4,s1-pdl,os,,sell,vwap_reversal
bearish,para 4,s1-s2,nu,,sell,vwap_reversal
bearish,para 4,s1-s2,os,,sell,vwap_reversal
bearish,para 4,s2-s3,nu,,buy,
bearish,para 4,s2-s3,os,,sell,
bearish,para 4,tc-pp,nu,,buy,
bearish,para 4,tc-pp,os,,sell,
bullish,para 4,bc-pdl,nu,,sell,
bullish,para 4,bc-pdl,ob,,sell,
bullish,para 4,bc-s1,nu,,buy,
bullish,para 4,pdh-tc,nu,,sell,
bullish,para 4,s1-pdl,nu,,sell,
bullish,para 4,s1-s2,nu,,buy,
bullish,para 4,s1-s2,ob,,buy,
bearish,para 3,tc-pp,nu,,sell,
bearish,para 3,tc-pp,nu,,buy,
bearish,para 3,pdl-s1,nu,,sell,
bearish,para 3,bc-pdl,nu,,buy,
bearish,para 3,bc-pdl,ob,,sell,
bearish,para 3,pp-bc,nu,,sell,vwap_reversal
bearish,para 3,r1-tc,ob,,buy,
bearish,para 3,r1-tc,nu,,buy,vwap_reversal
bullish,para 3,r2-r1,ob,,sell,
bullish,para 3,s1-s2,nu,,sell,
bullish,para 3,tc-pp,nu,,buy,
bullish,para 3,pp-bc,nu,,sell,
bearish,para 2,bc-pdl,nu,,sell,
bearish,para 2,bc-s1,nu,,sell,
bearish,para 2,tc-pp,nu,c cpr > p cpr,sell,
bearish,para 2,tc-pp,nu,c cpr < p cpr,buy,
bearish,para 2,r1-pdh,os,,sell,
bearish,para 2,r1-pdh,nu,,sell,vwap_reversal
bearish,para 2,pdh-tc,nu,,sell,vwap_reversal
bearish,para 2,pp-bc,nu,c cpr < p cpr,sell,
bearish,para 2,pp-bc,nu,c cpr > p cpr,buy,
bullish,para 2,r2-r1,nu,,sell,
bullish,para 2,bc-s1,nu,,sell,
bearish,para 1,bc-s1,nu,,sell,
bullish,para 1,>r3,ob,,sell,
bullish,para 1,>r3,nu,,buy,
bullish,para 1,pdh-r1,nu,,buy,vwap_reversal
bullish,para 1,pdh-r1,ob,,sell,vwap_reversal
bullish,para 1,pdh-tc,nu,,buy,sl will be 15 min close 90pts and reversal trade  sl will be high of candle  tgt 90
bullish,para 1,pdh-tc,ob,,sell,
bullish,para 1,pp-bc,nu,,buy,
bullish,para 1,r1-pdh,nu,,buy,
bullish,para 1,r1-pdh,ob,,sell,
bullish,para 1,r1-tc,nu,,sell,
bullish,para 1,r1-tc,ob,,sell,
bullish,para 1,r2-pdh,ob,,buy,sell on par sar or 90pts and reversal trade on parabolic sar signal and reversal sl will be high of  entery candle on 15 min closing basis
bullish,para 1,r2-pdh,nu,,buy,
bullish,para 1,r2-r1,nu,,buy,
bullish,para 1,r2-r1,ob,,buy,vwap_reversal
bullish,para 1,r3-r2,nu,,buy,
bullish,para 1,r3-r2,ob,,buy,vwap_reversal