bullish,> r3,r3-r2,r2-pdh,r2-r1,pdh-r1,r1-pdh,r1-tc,pdh-tc,tc-pp,pp-bc,bc-pdl,bc-s1,pdl-s1,s1-pdl,pdl-s2,s1-s2,s2-s3,< s3,3.15-3.30
> r3,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,
r3-r2,sell,sell,sell,sell,sell,sell,buy,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,
r2-pdh,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,
r2-r1,sell,sell,buy,sell,sell,sell,sell,buy,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,
pdh-r1,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,buy,sell,sell,
r1-pdh,sell,buy,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,
r1-tc,sell,sell,sell,sell,sell,sell,buy,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,
pdh-tc,sell,sell,sell,sell,sell,sell,buy,sell,sell,sell,sell,sell,buy,sell,sell,sell,sell,sell,
tc-pp,sell,sell,sell,sell,buy,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,sell,
pp-bc,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,
bc-pdl,buy,buy,buy,sell,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,
bc-s1,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,
pdl-s1,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,
s1-pdl,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,
pdl-s2,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,
s1-s2,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,
s2-s3,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,buy,
< s3,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,no_trade,
9.15-9.30,,,,,,,,,,,,,,,,,,,